date,temperature_2m,rain,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,precipitation_probability,cloud_cover,cloud_cover_high,cloud_cover_mid,cloud_cover_low,temperature_180m,temperature_80m,temperature_120m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_moisture_0_to_1cm,soil_temperature_54cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_27_to_81cm,soil_moisture_9_to_27cm,hour,day,month,year
2025-11-03 00:00:00+00:00,,,,,,,6.0,,,,,,,,,,,,,,,,,0,3,11,2025
2025-11-03 01:00:00+00:00,,,,,,,18.0,,,,,,,,,,,,,,,,,1,3,11,2025
2025-11-03 02:00:00+00:00,,,,,,,34.0,,,,,,,,,,,,,,,,,2,3,11,2025
2025-11-03 03:00:00+00:00,,,,,,,45.0,,,,,,,,,,,,,,,,,3,3,11,2025
2025-11-03 04:00:00+00:00,,,,,,,49.0,,,,,,,,,,,,,,,,,4,3,11,2025
2025-11-03 05:00:00+00:00,,,,,,,47.0,,,,,,,,,,,,,,,,,5,3,11,2025
2025-11-03 06:00:00+00:00,,,,,,,42.0,,,,,,,,,,,,,,,,,6,3,11,2025
2025-11-03 07:00:00+00:00,,,,,,,29.0,,,,,,,,,,,,,,,,,7,3,11,2025
2025-11-03 08:00:00+00:00,,,,,,,12.0,,,,,,,,,,,,,,,,,8,3,11,2025
2025-11-03 09:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,9,3,11,2025
2025-11-03 10:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,10,3,11,2025
2025-11-03 11:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,11,3,11,2025
2025-11-03 12:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,12,3,11,2025
2025-11-03 13:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,13,3,11,2025
2025-11-03 14:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,14,3,11,2025
2025-11-03 15:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,15,3,11,2025
2025-11-03 16:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,16,3,11,2025
2025-11-03 17:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,17,3,11,2025
2025-11-03 18:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,18,3,11,2025
2025-11-03 19:00:00+00:00,,,,,,,8.0,,,,,,,,,,,,,,,,,19,3,11,2025
2025-11-03 20:00:00+00:00,,,,,,,18.0,,,,,,,,,,,,,,,,,20,3,11,2025
2025-11-03 21:00:00+00:00,,,,,,,23.0,,,,,,,,,,,,,,,,,21,3,11,2025
2025-11-03 22:00:00+00:00,,,,,,,18.0,,,,,,,,,,,,,,,,,22,3,11,2025
2025-11-03 23:00:00+00:00,,,,,,,8.0,,,,,,,,,,,,,,,,,23,3,11,2025
2025-11-04 00:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,0,4,11,2025
2025-11-04 01:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,1,4,11,2025
2025-11-04 02:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,2,4,11,2025
2025-11-04 03:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,3,4,11,2025
2025-11-04 04:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,4,4,11,2025
2025-11-04 05:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,5,4,11,2025
2025-11-04 06:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,6,4,11,2025
2025-11-04 07:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,7,4,11,2025
2025-11-04 08:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,8,4,11,2025
2025-11-04 09:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,9,4,11,2025
2025-11-04 10:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,10,4,11,2025
2025-11-04 11:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,11,4,11,2025
2025-11-04 12:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,12,4,11,2025
2025-11-04 13:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,13,4,11,2025
2025-11-04 14:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,14,4,11,2025
2025-11-04 15:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,15,4,11,2025
2025-11-04 16:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,16,4,11,2025
2025-11-04 17:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,17,4,11,2025
2025-11-04 18:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,18,4,11,2025
2025-11-04 19:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,19,4,11,2025
2025-11-04 20:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,20,4,11,2025
2025-11-04 21:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,21,4,11,2025
2025-11-04 22:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,22,4,11,2025
2025-11-04 23:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,23,4,11,2025
2025-11-05 00:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,0,5,11,2025
2025-11-05 01:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,1,5,11,2025
2025-11-05 02:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,2,5,11,2025
2025-11-05 03:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,3,5,11,2025
2025-11-05 04:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,4,5,11,2025
2025-11-05 05:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,5,5,11,2025
2025-11-05 06:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,6,5,11,2025
2025-11-05 07:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,7,5,11,2025
2025-11-05 08:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,8,5,11,2025
2025-11-05 09:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,9,5,11,2025
2025-11-05 10:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,10,5,11,2025
2025-11-05 11:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,11,5,11,2025
2025-11-05 12:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,12,5,11,2025
2025-11-05 13:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,13,5,11,2025
2025-11-05 14:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,14,5,11,2025
2025-11-05 15:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,15,5,11,2025
2025-11-05 16:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,16,5,11,2025
2025-11-05 17:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,17,5,11,2025
2025-11-05 18:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,18,5,11,2025
2025-11-05 19:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,19,5,11,2025
2025-11-05 20:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,20,5,11,2025
2025-11-05 21:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,21,5,11,2025
2025-11-05 22:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,22,5,11,2025
2025-11-05 23:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,23,5,11,2025
2025-11-06 00:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,0,6,11,2025
2025-11-06 01:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,1,6,11,2025
2025-11-06 02:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,2,6,11,2025
2025-11-06 03:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,3,6,11,2025
2025-11-06 04:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,4,6,11,2025
2025-11-06 05:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,5,6,11,2025
2025-11-06 06:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,6,6,11,2025
2025-11-06 07:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,7,6,11,2025
2025-11-06 08:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,8,6,11,2025
2025-11-06 09:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,9,6,11,2025
2025-11-06 10:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,10,6,11,2025
2025-11-06 11:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,11,6,11,2025
2025-11-06 12:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,12,6,11,2025
2025-11-06 13:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,13,6,11,2025
2025-11-06 14:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,14,6,11,2025
2025-11-06 15:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,15,6,11,2025
2025-11-06 16:00:00+00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,16,6,11,2025
